Link to GitHub Repository,Link to paper,Referencing or not,RQ1 Open Access,RQ2 Relationship between Repository and Paper,RQ2 Diversity of GitHub Repository,RQ2 Affiliation,RQ2 Paper References back to the Repository,RQ3 README evolution,RQ3 Paper evolution
https://github.com/max-andr/joint-cnn-mrf,http://papers.nips.cc/paper/5573-joint-training-of-a-convolutional-network-and-a-graphical-model-for-human-pose-estimation,yes,yes,independent unofficial,computer vision,university,no,link changes,no
https://github.com/sebastianGehrmann/bottom-up-summary,https://arxiv.org/pdf/1808.10792.pdf,yes,yes,official,nlp,university,yes to offcial,no,yes
https://github.com/antran89/BoW_frameworks,https://ieeexplore.ieee.org/document/7410728,yes,yes,official,computer vision,university,no,no,no
https://github.com/bthoven/planckt,https://arxiv.org/abs/1807.06209,yes,yes,independent unofficial,other,industry,no,no,yes
https://github.com/NervanaSystems/ngraph-python,https://arxiv.org/pdf/1801.08058.pdf,yes,yes,official,deep learning,industry,no,no,no
https://github.com/ijmarshall/robotreviewer_old,https://academic.oup.com/jamia/article/23/1/193/2379921,yes,yes,official,nlp,university,no,no,no
https://github.com/mgalardini/pyseer,https://academic.oup.com/bioinformatics/article/34/24/4310/5047751,yes,yes,official,other,university,yes,no,no
https://github.com/unsuthee/SemanticHashingWeakSupervision,https://dl.acm.org/doi/10.1145/3209978.3210090,yes,yes,official,deep learning,university,no,no,no
https://github.com/BDNYC/astrodbkit,,data,,,,,,,
https://github.com/luke-gregor/Thomalla2017_quenching,https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.1002/lom3.10234,yes,yes,official,other,both,no,no,no
https://github.com/aeantipov/opendf,https://www.sciencedirect.com/science/article/pii/S1875389215007178?via%3Dihub,yes,yes,official,other,university,no,no,no
https://github.com/zrobertson466920/pybdm,https://arxiv.org/pdf/1609.00110.pdf,yes,yes,independent unofficial,other,university,yes to offcial,no,no
https://github.com/luizaes/sca-algorithm,https://www.sciencedirect.com/science/article/abs/pii/S0950705115005043?via%3Dihub,yes,yes,independent unofficial,other,university,yes to offcial,no,no
https://github.com/angeladai/ScanComplete,https://arxiv.org/pdf/1712.10215.pdf,yes,yes,official,computer vision,both,no,no,yes
https://github.com/jwieting/charagram,https://arxiv.org/abs/1607.02789,yes,yes,official,nlp,university,no,no,no
https://github.com/mrahtz/musical-pattern-recognition-in-spiking-neural-networks,http://amid.fish/beng_project_report.pdf,yes,yes,official,deep learning,industry,no,no,no
https://github.com/MShudrak/IDAmetrics,https://www.researchgate.net/publication/312577578_Improving_Fuzzing_Using_Software_Complexity_Metrics,yes,yes,official,other,university,no,no,no
https://github.com/Natsu6767/DCGAN-PyTorch,https://arxiv.org/abs/1511.06434,yes,yes,independent unofficial,computer vision,industry,no,no,no
https://github.com/avirmaux/lipEstimation,https://arxiv.org/abs/1805.10965,yes,yes,official,deep learning,industry,yes,no,yes
https://github.com/gcoter/seq2seq-chatbot,https://arxiv.org/pdf/1506.05869.pdf,yes,yes,independent unofficial,nlp,industry,no,no,no
https://github.com/Becksteinlab/vesicle_analysis_methods,https://figshare.com/articles/Technical_Report_SPIDAL_Summer_REU_2015_Biomolecular_benchmark_systems/1588804,yes,yes,official,other,university,yes,no,no
https://github.com/yweweler/single-speaker-tts,https://arxiv.org/abs/1703.10135v2,yes,yes,independent unofficial,deep learning,industry,no,no,no
https://github.com/cpviolator/QUDA-CPS,https://arxiv.org/pdf/hep-lat/0311018v1.pdf,yes,yes,independent unofficial,other,university,no,no,no
https://github.com/sparticlesteve/pytorch-examples,https://arxiv.org/abs/1711.03573,yes,yes,official,other,both,no,no,no
https://github.com/jakubkarczewski/SentimNet,https://arxiv.org/pdf/1508.06615.pdf,yes,yes,independent unofficial,nlp,industry,yes to offcial,no,no
https://github.com/ducha-aiki/LSUVinit,https://arxiv.org/abs/1511.06422,yes,yes,official,deep learning,university,yes,no,yes
https://github.com/tlatkowski/multihead-siamese-nets,https://arxiv.org/abs/1706.03762,yes,yes,independent unofficial,deep learning,industry,yes to offcial,no,no
https://github.com/xiao-he/Kernelized-Rank-Learning,https://academic.oup.com/bioinformatics/article/34/16/2808/4924716,yes,yes,official,ml,university,yes,no,no
https://github.com/abhinavs95/photo-uncrop,https://github.com/abhinavs95/photo-uncrop/blob/master/docs/report.pdf,yes,yes,official,computer vision,university,yes,no,no
https://github.com/impb-ethz/ciderseq,https://academic.oup.com/nar/article/47/2/e9/5144110,yes,yes,fork of official,other,university,yes to offcial,different paper,no
https://github.com/rohitgirdhar-cmu-experimental/caffe-3dobjdet,https://arxiv.org/abs/1408.5093,yes,yes,fork of official,deep learning,unknow,yes to offcial,no,no
https://github.com/ZuoJiaxing/Learn-ORB-VIO-Stereo-Mono,https://arxiv.org/abs/1502.00956,yes,yes,independent unofficial,robotics,university,yes to offcial,no,no
https://github.com/aykutonol/cito,https://arxiv.org/abs/1810.10462,yes,yes,official,robotics,university,no,no,no
https://github.com/sappelhoff/sp_experiment,https://psycnet.apa.org/doiLanding?doi=10.1037%2Fbul0000115,yes,yes,independent unofficial,other,university,no,no,no
https://github.com/Phutoast/Learning2RL,https://arxiv.org/abs/1611.05763,yes,yes,independent unofficial,deep learning,university,no,no,no
https://github.com/named-data/Hyperbolic-Greedy-Forwarding-Scenario,https://arxiv.org/abs/1503.05180,yes,yes,independent unofficial,networks,industry,yes to offcial,no,no
https://github.com/LouisCastricato/DTP-Nengo,https://arxiv.org/pdf/1412.7525v5.pdf,yes,yes,independent unofficial,deep learning,university,yes to offcial,no,no
https://github.com/TuSimple/rl-multishot-reid,https://arxiv.org/abs/1712.07257,yes,yes,independent unofficial,deep learning,industry,no,no,yes
https://github.com/LucasSheng/avatar-net,https://arxiv.org/abs/1805.03857,yes,yes,official,computer vision,both,no,no,yes
https://github.com/hujinsen/pytorch-StarGAN-VC,https://arxiv.org/abs/1806.02169,yes,yes,independent unofficial,deep learning,university,no,no,no
https://github.com/babahooja/pcatxcore,https://www.aaai.org/Papers/IJCAI/2007/IJCAI07-429.pdf,yes,yes,independent unofficial,nlp,university,no,no,no
https://github.com/warif2/sherlock,https://www.sciencedirect.com/science/article/pii/S1046202318302263?via%3Dihub,yes,yes,official,other,university,yes,no,no
https://github.com/rajatkb/DBPN-Keras,https://arxiv.org/abs/1803.02735,yes,yes,independent unofficial,computer vision,industry,yes to offcial,no,no
https://github.com/matan-zur/alon-ssd,https://arxiv.org/abs/1512.02325,yes,yes,independent unofficial,computer vision,unknow,yes to offcial,no,no
https://github.com/zihtumreth/cond_traj_entropy,https://arxiv.org/abs/1212.2831,yes,yes,independent unofficial,other,university,no,no,no
https://github.com/suchaoxiao/Keras-ResNeXt_modify,https://arxiv.org/pdf/1611.05431.pdf,yes,yes,independent unofficial,deep learning,university,yes to offcial,no,no
https://github.com/hzm2016/Curiosity-driven-Exploration,https://arxiv.org/abs/1705.05363,yes,yes,independent unofficial,deep learning,university,no,no,no
https://github.com/parklab/PaSD-qc,https://academic.oup.com/nar/article/46/4/e20/4658833,yes,yes,official,other,university,yes,no,no
https://github.com/tech-srl/code2vec,https://arxiv.org/abs/1803.09473,yes,yes,official,deep learning,industry,yes,link changes,no
https://github.com/LaurentBerger/ColorMatchTemplate,https://ieeexplore.ieee.org/document/972184,yes,no,,,,,,
https://github.com/bienz2/Node_Aware_MPI,,no,,,,,,,
https://github.com/tobias-liaudat/github_repo,https://hal.archives-ouvertes.fr/hal-02088466/document,yes,yes,official,other,industry,yes,no,no
https://github.com/kamran-haider/SSTMap,https://pubs.acs.org/doi/abs/10.1021/acs.jctc.7b00592,yes,yes,fork of offcial,other,unknow,yes,no,no
https://github.com/d123y456/kablstm,https://www.researchgate.net/publication/326137147_Knowledge-aware_Attentive_Neural_Network_for_Ranking_Question_Answer_Pairs,yes,yes,official,nlp,both,no,no,no
https://github.com/TGAC/brassica,https://www.researchgate.net/publication/316068714_Introducing_the_Brassica_Information_Portal_Towards_integrating_genotypic_and_phenotypic_Brassica_crop_data,yes,yes,official,other,both,yes,no,no
https://github.com/andriyukr/FLC,https://ieeexplore.ieee.org/document/8015485,yes,no,,,,,,
https://github.com/DLR-SC/tigl,https://arxiv.org/abs/1810.10795,yes,yes,independent unofficial,other,industry,no,no,no
https://github.com/buptdbj/darknet-windows-linux,https://arxiv.org/pdf/1708.02002.pdf,yes,yes,independent unofficial,computer vision,unknow,yes to official,no,no
https://github.com/davidstutz/mesh-evaluation,https://arxiv.org/abs/1805.07290,yes,yes,official,computer vision,university,no,no,yes
https://github.com/s7jones/bwta2,http://nova.wolfwork.com/papers/aiide16-workshop.pdf,yes,yes,independent unofficial,deep learning,unknow,404,no,no
https://github.com/hhexiy/pungen,https://arxiv.org/abs/1904.06828,yes,yes,official,nlp,university,yes,no,no
https://github.com/ascane/sparse-pca,https://arxiv.org/abs/1408.5369,yes,yes,independent unofficial,ml,university,no,no,no
https://github.com/gem-pasteur/macsyview,https://journals.plos.org/plosone/article/figure?id=10.1371/journal.pone.0110726.g002,yes,yes,official,other,both,yes to official,no,no
https://github.com/pfnet-research/chainer-chemistry,https://arxiv.org/abs/1807.01985,yes,yes,independent unofficial,deep learning,industry,yes to official,no,no
https://github.com/genome/diagnose_dups,,data,,,,,,,
https://github.com/chen1474147/Deep3DPose,https://arxiv.org/abs/1604.02703,yes,yes,official,computer vision,university,404,different paper,yes
https://github.com/karanchahal/SaliencyMapper,https://arxiv.org/abs/1705.07857,yes,yes,independent unofficial,computer vision,industry,no,no,no
https://github.com/bgrimstad/splinter,,no,,,,,,,
https://github.com/simetenn/medaka,,data,,,,,,,
https://github.com/VeritasYin/STGCN_IJCAI-18,https://www.ijcai.org/proceedings/2018/0505,yes,yes,independent unofficial,deep learning,university,no,link changes,no
https://github.com/oddguan/audio_visual_video_caption,https://arxiv.org/pdf/1505.00487.pdf,yes,yes,independent unofficial,deep learning,university,yes to official,no,no
https://github.com/NovCloud/mlxtend,,data,,,,,,,
https://github.com/fmckenna/CWE,,data,,,,,,,
https://github.com/getmlcode/Deep-Lap-V3-Inference-GUI-Tkinter,https://arxiv.org/pdf/1706.05587.pdf,yes,yes,independent unofficial,computer vision,industry,no,no,no
https://github.com/masterblogger/rhinopython,,no,,,,,,,
https://github.com/pbteja1998/ire_project_18,https://www.mitpressjournals.org/doi/pdf/10.1162/089120102762671936,yes,yes,independent unofficial,ml,industry,no,no,no
https://github.com/sutanu70/Segmentation,https://arxiv.org/abs/1412.7062,yes,yes,independent unofficial,computer vision,university,yes to official,no,yes
https://github.com/qilei123/DEEPLAB_4_RETINA,https://arxiv.org/abs/1703.06211,yes,yes,official,computer vision,industry,yes to official,no,yes
https://github.com/rinde/pdptw-dataset-generator,,data,,,,,,,
https://github.com/PeterJackNaylor/dynamic_watershed,https://ieeexplore.ieee.org/document/7950669,yes,yes,independent unofficial,computer vision,unknow,no,no,no
https://github.com/NoahRJohnson/AlphaZeroShogi,https://arxiv.org/pdf/1712.01815.pdf,yes,yes,independent unofficial,deep learning,industry,no,no,no
https://github.com/BigDataBiology/ngless2018benchmark,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-019-0684-8,yes,yes,official,other,both,yes,link changes,no
https://github.com/geekan/google-scholar-crawler,,no,,,,,,,
https://github.com/zexihan/caffe-SSDH,https://arxiv.org/abs/1507.00101,yes,yes,fork of official,deep learning,industry,yes to official,no,yes
https://github.com/fire-rs-laas/fire-rs-saop,https://hal.laas.fr/hal-01852176/document,yes,yes,official,other,university,yes,no,no
https://github.com/Francis-Hsu/CGALTri,https://www.sciencedirect.com/science/article/abs/pii/S0097849318300098?via%3Dihub,yes,yes,independent unofficial,other,university,yes to official,no,no
https://github.com/lacava/feat,https://arxiv.org/abs/1807.00981,yes,yes,official,ml,university,yes to official,no,yes
https://github.com/avlaskin/dev-world-2017-coreml,https://arxiv.org/abs/1605.07678,yes,yes,miscellaneous,deep learning,unknow,no,no,no
https://github.com/MeiguangJin/Learning-to-See-through-Reflections,https://ieeexplore.ieee.org/document/8368464?part=1,yes,yes,official,computer vision,both,no,no,no
https://github.com/shashwath94/Semisupervised-learning-with-DCGANs,https://arxiv.org/pdf/1511.06434.pdf,yes,yes,independent unofficial,deep learning,industry,no,no,no
https://github.com/Chicago/e-coli-beach-predictions,,data,,,,,,,
https://github.com/r-englund/crowdsys,http://scivis.itn.liu.se/publications/2016/EKR16/,yes,yes,independent unofficial,other,university,no,no,no
https://github.com/AaronCCWong/Show-Attend-and-Tell,https://arxiv.org/pdf/1502.03044.pdf,yes,yes,independent unofficial,deep learning,industry,no,no,no
https://github.com/RXGottlieb/connect-4-self-play,https://arxiv.org/pdf/1712.01815.pdf,yes,yes,independent unofficial,deep learning,unknow,no,no,no
https://github.com/analysiscenter/dataset,,data,,,,,,,
https://github.com/statgen/emeraLD,https://academic.oup.com/bioinformatics/article/35/1/164/5047763,yes,yes,official,other,university,yes,no,no
https://github.com/mariuspot/openai_gym_taxi_v2_sarsa_max,https://arxiv.org/pdf/cs/9905014.pdf,yes,yes,independent unofficial,ml,industry,no,no,no
https://github.com/aicentral/darktext,https://arxiv.org/pdf/1506.02640.pdf,yes,yes,independent unofficial,computer vision,industry,yes to official,no,no
https://github.com/rsachetto/MonoAlg3D_C,https://onlinelibrary.wiley.com/doi/abs/10.1002/cnm.2913,yes,yes,independent unofficial,other,university,no,no,no
https://github.com/Chenyao2333/contactlib,https://www.biorxiv.org/content/10.1101/407106v1,yes,yes,official,other,university,yes,no,yes
https://github.com/kunalbanerjee/EquivalenceChecker_ADDG,https://link.springer.com/chapter/10.1007%2F978-3-319-68167-2_6,yes,no,,,,,,
https://github.com/etal/cnvkit-examples,https://www.nature.com/articles/ng.3382,yes,yes,official,other,both,yes to official,no,no
https://github.com/nell-byler/cloudyfsps,,data,,,,,,,
https://github.com/meliketoy/graph-cnn.pytorch,https://arxiv.org/abs/1603.08861,yes,yes,independent unofficial,deep learning,university,no,no,no
https://github.com/raahii/video-gans-evaluation,https://arxiv.org/abs/1606.03498,yes,yes,independent unofficial,deep learning,industry,yes to official,no,no
https://github.com/HumanCompatibleAI/imitation,https://arxiv.org/abs/1710.11248,yes,yes,independent unofficial,ml,industry,yes to official,no,no
https://github.com/brentp/pedagree,https://www.cell.com/action/showFullTextImages?pii=S0002-9297(17)30017-4,yes,yes,official,other,university,yes,no,no
https://github.com/uclmr/pycodesuggest,https://arxiv.org/abs/1611.08307,yes,yes,official,deep learning,university,yes,no,no
https://github.com/MeetDevin/ProjectX,https://www.sciencedirect.com/science/article/pii/S1574954119303206?via%3Dihub,yes,no,,,,,,
https://github.com/Enjia/Spatial-Regularization-Network-in-Tensorflow,https://arxiv.org/abs/1702.05891,yes,yes,independent unofficial,deep learning,industry,yes to official,no,no
https://github.com/tensorflow/probability,https://arxiv.org/abs/1711.10604,yes,yes,official,deep learning,industry,yes to official,no,no
https://github.com/carolinepacheco/lbplibrary,https://www.researchgate.net/publication/270895993_An_eXtended_Center-Symmetric_Local_Binary_Pattern_for_Background_Modeling_and_Subtraction_in_Videos,yes,yes,official,computer vision,both,no,no,no
https://github.com/exg/llvm-CIA,https://ieeexplore.ieee.org/document/7008460,yes,no,,,,,,
https://github.com/gteu/DNN-Phase-Reconstruction,https://arxiv.org/abs/1807.03474,yes,yes,independent unofficial,deep learning,unknow,no,no,no
https://github.com/thw17/Sifaka_assembly,https://www.biorxiv.org/content/10.1101/490839v1,yes,yes,official,other,university,yes,no,no
https://github.com/billy-mosse/circalgo,https://arxiv.org/pdf/1612.08763.pdf,yes,yes,independent unofficial,other,university,no,no,no
https://github.com/IFTE-EDA/Corblivar,https://www.ifte.de/mitarbeiter/lienig/TCAD_Nov2015_pp1808_1821.pdf,yes,yes,independent unofficial,other,university,no,no,no
https://github.com/jiaorunnju/RL-with-Tensorflow,https://arxiv.org/abs/1312.5602,yes,yes,independent unofficial,deep learning,university,no,no,no
https://github.com/dreamlh/MoStfmodels,https://arxiv.org/abs/1711.03953,yes,yes,independent unofficial,deep learning,unknow,yes to official,no,no
https://github.com/FlashTek/emomatch-pytorch,https://arxiv.org/abs/1705.08168,yes,yes,independent unofficial,deep learning,university,no,no,no
https://github.com/yingShen-ys/MultiNLI,,no,,,,,,,
https://github.com/hwang1996/ACME,https://arxiv.org/abs/1905.01273,yes,yes,fork of official,deep learning,university,yes to official,change to metadata,no
https://github.com/corenel/pytorch-adda,https://arxiv.org/abs/1702.05464,yes,yes,independent unofficial,deep learning,industry,no,no,no
https://github.com/BartoszPiotrowski/ATPboost,https://link.springer.com/article/10.1007/s10817-013-9286-5,yes,yes,independent unofficial,ml,industry,no,no,no
https://github.com/yaq007/Autofocus-Layer,https://arxiv.org/pdf/1805.08403.pdf,yes,yes,official,computer vision,both,yes,no,yes
https://github.com/gitlimlab/BicycleGAN-Tensorflow,http://papers.nips.cc/paper/6650-toward-multimodal-image-to-image-translation.pdf,yes,yes,independent unofficial,computer vision,university,yes to official,no,yes
https://github.com/meolic/biddy,https://dk.um.si/IzpisGradiva.php?id=68831,yes,yes,official,other,university,yes to official,no,no
https://github.com/thomasbrueggemann/privacy-risk-mhealth,https://link.springer.com/chapter/10.1007/978-3-319-44760-5_12,yes,yes,official,other,university,no,no,no
https://github.com/mdekauwe/get_chunk_and_distribute,https://www.biogeosciences.net/10/2011/2013/bg-10-2011-2013.pdf,yes,yes,independent unofficial,other,university,no,no,no
https://github.com/ramakanth-pasunuru/video_captioning_rl,https://arxiv.org/abs/1708.02300,yes,yes,official,deep learning,university,no,no,no
https://github.com/frsong/tf-examples,https://arxiv.org/abs/1312.6114,yes,yes,miscellaneous,ml,unknow,no,no,no
https://github.com/Soldie/TrojanNN-PYTHON,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=2782&context=cstech,yes,yes,independent unofficial,deep learning,university,no,no,no
https://github.com/robotology-playground/event-driven,https://www.researchgate.net/publication/322525143_The_Event-Driven_Software_Library_for_YARP-With_Algorithms_and_iCub_Applications,yes,yes,official,robotics,industry,yes,no,no
https://github.com/btamadio/RPV_SUSY,,data,,,,,,,
https://github.com/iwyoo/tf_ThinPlateSpline,https://arxiv.org/abs/1506.02025,yes,yes,independent unofficial,deep learning,unknow,no,no,no
https://github.com/UCLA-BD2K/MACCRs,https://www.ncbi.nlm.nih.gov/pubmed/30457569,yes,yes,official,other,both,yes,no,no
https://github.com/freesouls/Deep-Residual-Network-For-MXNet,https://arxiv.org/abs/1512.03385,yes,yes,independent unofficial,deep learning,industry,no,no,no
https://github.com/9crk/nakedetection,https://arxiv.org/pdf/1512.03385v1.pdf,yes,yes,independent unofficial,deep learning,industry,no,no,no
https://github.com/KareemYousrii/2015-DL-TIWafer,https://arxiv.org/abs/1408.5093,yes,yes,independent unofficial,deep learning,university,yes to official,no,no
https://github.com/Deepak3994/SuMA,http://www.roboticsproceedings.org/rss14/p16.pdf,yes,yes,independent unofficial,robotics,industry,yes to official,no,no
https://github.com/srl-freiburg/pedsim_ros,https://arxiv.org/pdf/cond-mat/9805244.pdf,yes,yes,independent unofficial,computer vision,university,no,no,no
https://github.com/leemathew1998/GradientWeight,https://arxiv.org/abs/1611.07004,yes,yes,independent unofficial,deep learning,unknow,yes to official,no,yes
https://github.com/chanedwin/kaggletoxic,https://arxiv.org/pdf/1508.06615.pdf,yes,yes,miscellaneous,ml,university,yes to official,no,no
https://github.com/ijmarshall/robotsearch,https://onlinelibrary.wiley.com/doi/full/10.1002/jrsm.1287,yes,yes,official,ml,university,yes,no,no
https://github.com/mohamedkeid/Texture-Synthesis,https://arxiv.org/pdf/1505.07376v3.pdf,yes,yes,independent unofficial,computer vision,industry,yes,no,no
https://github.com/ChienliMa/DeConvNet,https://arxiv.org/pdf/1311.2901v3.pdf,yes,yes,independent unofficial,deep learning,university,no,no,no
https://github.com/hanzhanggit/StackGAN-inception-model,https://arxiv.org/pdf/1612.03242v2.pdf,yes,yes,official,deep learning,both,yes,no,no
https://github.com/JorgeCeja/food101-tensorflow,https://www.vision.ee.ethz.ch/datasets_extra/food-101/static/bossard_eccv14_food-101.pdf,yes,yes,independent unofficial,ml,industry,no,no,no
https://github.com/BigRedT/nn_pred_surf,,no,,,,,,,
https://github.com/tianyolanda/derpn-study,https://arxiv.org/abs/1506.01497,yes,yes,independent unofficial,computer vision,university,yes to official,no,no
https://github.com/Mrpatekful/ptranslate,https://arxiv.org/abs/1711.00043,yes,yes,independent unofficial,deep learning,university,no,no,yes
https://github.com/zhiqiangdon/pose-adv-aug,https://arxiv.org/pdf/1805.09707.pdf,yes,yes,official,computer vision,both,404,no,no
https://github.com/rutzeng/GAIN,https://arxiv.org/pdf/1802.10171.pdf,yes,yes,independent unofficial,computer vision,university,no,no,no
https://github.com/carlohamalainen/volgenmodel-nipype,https://www.sciencedirect.com/science/article/pii/S1046202315000110?via%3Dihub,yes,yes,fork of official,other,industry,yes to official,no,no
https://github.com/AlexandrTerentyev/Quantum,https://arxiv.org/abs/1612.06322,yes,yes,official,quantum,both,no,no,no
https://github.com/tangye95/Unsupervised-Cell-level-Visual-Representation-learning-with-GAN,https://arxiv.org/abs/1711.11317,yes,yes,independent unofficial,deep learning,unknow,yes to official,no,no
https://github.com/tlambert03/FPbase,https://www.nature.com/articles/s41592-019-0352-8,yes,yes,official,other,university,yes,no,no
https://github.com/kor-al/episodic-control-pong-game,https://arxiv.org/pdf/1606.04460.pdf,yes,yes,independent unofficial,deep learning,unknow,no,no,no
https://github.com/csdncsdn999/quiz-w7-2-densenet,https://arxiv.org/abs/1608.06993,yes,yes,independent unofficial,deep learning,unknow,yes to official,no,no
https://github.com/sinaehsani6/csc585rep-fusionnet,https://arxiv.org/abs/1711.07341,yes,yes,fork of official,nlp,unknow,yes to official,no,yes
https://github.com/WERimagin/QuestionGeneration,https://arxiv.org/abs/1705.00106,yes,yes,independent unofficial,nlp,unknow,yes to official,no,no
https://github.com/hughsalimbeni/bayesian_benchmarks,http://proceedings.mlr.press/v5/titsias09a/titsias09a.pdf,yes,yes,independent unofficial,ml,university,no,no,no
https://github.com/rll/rllab,https://arxiv.org/abs/1604.06778,yes,yes,official,ml,both,yes,no,yes
https://github.com/lucabaroffio/BAMBrisk,http://home.deib.polimi.it/tagliasa/publications/2014/2014_ICIP_Tagliasacchi_1.pdf,yes,yes,official,ml,university,no,change to metadata,no
https://github.com/marian-nmt/marian,https://arxiv.org/abs/1804.00344,yes,yes,official,deep learning,both,yes,no,no
https://github.com/Achronus/Machine-Learning-101,https://www.cs.toronto.edu/~hinton/absps/fastnc.pdf,yes,yes,miscellaneous,ml,university,no,no,no
https://github.com/bartnijssen/plumber_analysis,https://journals.ametsoc.org/doi/10.1175/JHM-D-14-0158.1,yes,yes,independent unofficial,other,university,no,no,no
https://github.com/subtri/streaming_VOP_clustering,https://arxiv.org/pdf/1601.05447.pdf,yes,yes,official,computer vision,university,no,no,no
https://github.com/ruizhaogit/MNIST-GuessNumber,https://arxiv.org/abs/1810.01371,yes,yes,official,deep learning,both,yes,no,yes
https://github.com/benlaug/labgen,https://www.sciencedirect.com/science/article/abs/pii/S0167865516303439,yes,yes,official,computer vision,university,yes,change to metadata,no
https://github.com/angeladai/3DMV,https://arxiv.org/pdf/1803.10409.pdf,yes,yes,official,computer vision,university,no,no,no
https://github.com/chanb/metalearning_RL,https://arxiv.org/abs/1611.02779,yes,yes,independent unofficial,deep learning,university,no,no,no
https://github.com/lemire/simdjson,https://arxiv.org/abs/1902.08318,yes,yes,official,other,both,yes,no,yes
https://github.com/flowgrammable/ofpmsg-js,https://arxiv.org/pdf/1311.3336.pdf,yes,yes,independent unofficial,networks,industry,no,no,no
https://github.com/giulia-berto/app-multi-lap-anat,,no,,,,,,,
https://github.com/tyiannak/pyAudioAnalysis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0144610,yes,yes,official,ml,university,yes,no,no
https://github.com/alexholcombe/attentional-blink,https://link.springer.com/article/10.3758%2Fs13414-015-0912-7,yes,yes,official,other,university,yes,no,no
https://github.com/geomstats/geomstats,https://arxiv.org/abs/1805.08308,yes,yes,official,ml,both,no,no,no
https://github.com/pavesiriccardo/COLDz_calculate_LF,https://arxiv.org/abs/1808.04372,yes,yes,official,other,both,yes to official,no,no
https://github.com/GerardMJuan/simlr-ad,https://www.biorxiv.org/content/10.1101/339614v3,yes,yes,official,ml,both,yes,no,no
https://github.com/1206lyp/incremental-word2vec,https://arxiv.org/pdf/1301.3781v3.pdf,yes,yes,independent unofficial,ml,unknow,no,no,no
https://github.com/Microsoft/AzureML-BERT,https://arxiv.org/abs/1810.04805,yes,yes,independent unofficial,nlp,industry,yes to official,no,no
https://github.com/cdebacco/MultiTensor,https://arxiv.org/abs/1701.01369,yes,yes,official,networks,university,yes,no,yes
https://github.com/nikhilsardana/GANcompression,https://arxiv.org/abs/1804.02958,yes,yes,independent unofficial,computer vision,university,no,no,no
https://github.com/djsaunde/GenerativeDataAugmentation,https://arxiv.org/pdf/1406.2661v1.pdf,yes,yes,independent unofficial,deep learning,industry,yes to official,no,no
https://github.com/mori97/JKNet-dgl,https://arxiv.org/abs/1806.03536,yes,yes,independent unofficial,deep learning,university,no,no,no
https://github.com/yanboliang/submarine,https://arxiv.org/pdf/1512.03385.pdf,yes,yes,independent unofficial,deep learning,industry,no,link changes,no
https://github.com/straylightrun/cytofviz,https://arxiv.org/abs/1201.6082,yes,yes,independent unofficial,ml,industry,no,no,no
https://github.com/zsylvester/meanderpy,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/WR020i011p01659,yes,yes,independent unofficial,computer vision,university,no,no,no
https://github.com/alexandrovteam/curatr,https://www.biorxiv.org/content/10.1101/170571v1,yes,yes,official,other,university,yes,no,no
https://github.com/yueruchen/Pedestrian-Synthesis-GAN,https://arxiv.org/abs/1804.02047,yes,yes,official,computer vision,both,yes,no,no
